127.0.0.1 - - [02/Jun/2021:01:15:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:15:33 +0900] "GET /minesweeper/index.html HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:15:34 +0900] "GET /minesweeper/css/style.css?ver=1.1 HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:15:38 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:15:47 +0900] "GET /minesweeper/index.html HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:15:47 +0900] "GET /minesweeper/css/style.css?ver=1.1 HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:15:49 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:15:52 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:16:19 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:16:22 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:16:31 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:17:29 +0900] "GET /minesweeper/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:17:31 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:17:35 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:17:56 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:17:57 +0900] "GET /minesweeper/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:17:59 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:18:07 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:18:10 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:18:11 +0900] "GET /minesweeper/game.jsp?level=1 HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:18:11 +0900] "GET /minesweeper/css/style.css?ver=1.2 HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:18:11 +0900] "GET /minesweeper/js/game.js HTTP/1.1" 200 4502
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:18:16 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:19:37 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:19:38 +0900] "GET /minesweeper/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:19:50 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:20:47 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:20:47 +0900] "GET /minesweeper/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:20:48 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [02/Jun/2021:01:20:50 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 626
